address,city,zip,price,beds,baths,sqft,year_built,lot_size,property_type,hoa_month,days_on_market,tract_geoid,county_name,dist_to_addison_mi,dist_to_lewisville_mi,latitude,longitude,redfin_url
3925 Malcolm X Blvd,Dallas,75215,199000,3,2.0,1024,1938,6795,Single Family Residential,,44,48113003700,Dallas,14.36,23.48,32.760896,-96.7590698,https://www.redfin.com/TX/Dallas/3925-Malcolm-X-Blvd-75215/home/30802680
3332 Rutledge St,Dallas,75215,180000,2,2.0,1450,1974,4617,Multi-Family (2-4 Unit),,44,48113003700,Dallas,14.12,23.4,32.7663392,-96.7524296,https://www.redfin.com/TX/Dallas/3332-Rutledge-St-75215/home/184366801
2801 Twyman Ave,Dallas,75215,289000,3,3.0,1359,2026,5489,Single Family Residential,,44,48113003700,Dallas,13.92,23.0,32.7661522,-96.7647044,https://www.redfin.com/TX/Dallas/2801-Twyman-Ave-75215/home/30808108
3142 Harmon St,Dallas,75215,371500,3,3.5,2579,2025,3223,Single Family Residential,,55,48113003700,Dallas,13.97,23.19,32.767458,-96.7566247,https://www.redfin.com/TX/Dallas/3142-Harmon-St-75215/home/30804337
3506 Dunbar St,Dallas,75215,300000,4,2.0,1728,1925,5500,Single Family Residential,,64,48113003700,Dallas,13.83,22.99,32.7683149,-96.7611797,https://www.redfin.com/TX/Dallas/3506-Dunbar-St-75215/home/30808032
2415 Dathe St,Dallas,75215,209500,3,2.0,1100,1935,5314,Single Family Residential,,65,48113003700,Dallas,14.24,23.23,32.7609131,-96.7667648,https://www.redfin.com/TX/Dallas/2415-Dathe-St-75215/home/30802731
3614 Latimer St,Dallas,75215,368500,4,2.5,1977,2026,6273,Single Family Residential,,70,48113003700,Dallas,14.19,23.21,32.7617433,-96.7659833,https://www.redfin.com/TX/Dallas/3614-Latimer-St-75215/home/30802953
3705 Guaranty St,Dallas,75215,149900,2,1.0,816,1935,2352,Single Family Residential,,77,48113003700,Dallas,14.2,23.26,32.7622631,-96.7633712,https://www.redfin.com/TX/Dallas/3705-Guaranty-St-75215/home/30802606
3335 Spring Ave,Dallas,75215,325000,3,2.0,2215,2026,7318,Single Family Residential,,96,48113003700,Dallas,14.15,23.43,32.7659642,-96.7519742,https://www.redfin.com/TX/Dallas/3335-Spring-Ave-75215/home/30804453
3618 Jeffries St,Dallas,75215,207000,3,1.0,1132,1925,5358,Single Family Residential,,112,48113003700,Dallas,14.0,23.13,32.7656449,-96.7615893,https://www.redfin.com/TX/Dallas/3618-Jeffries-St-75215/home/30808466
