address,city,zip,price,beds,baths,sqft,year_built,lot_size,property_type,hoa_month,days_on_market,tract_geoid,county_name,dist_to_addison_mi,dist_to_lewisville_mi,latitude,longitude,redfin_url
2902 Jim St,Dallas,75212,499000,3,3.0,2636,2021,6011,Single Family Residential,,49,48113010602,Dallas,13.51,18.62,32.7779586,-96.9150545,https://www.redfin.com/TX/Dallas/2902-Jim-St-75212/home/30986219
2707 Clymer St,Dallas,75212,284900,3,1.0,1120,1945,7492,Single Family Residential,,69,48113010602,Dallas,13.55,18.84,32.7757355,-96.9098191,https://www.redfin.com/TX/Dallas/2707-Clymer-St-75212/home/30987011
2435 Iroquois St,Dallas,75212,170000,2,1.0,840,1946,7492,Single Family Residential,,76,48113010602,Dallas,13.67,19.08,32.7728777,-96.9065905,https://www.redfin.com/TX/Dallas/2435-Iroquois-St-75212/home/30986356
2718 Jeff St,Dallas,75212,80000,,,,,6011,Vacant Land,,86,48113010602,Dallas,13.6,18.69,32.77674,-96.915745,https://www.redfin.com/TX/Dallas/2718-Jeff-St-75212/home/30985666
2714 Jeff St,Dallas,75212,80000,,,,,6011,Vacant Land,,86,48113010602,Dallas,13.61,18.7,32.776606,-96.915714,https://www.redfin.com/TX/Dallas/2714-Jeff-St-75212/home/30985664
2706 Jeff St,Dallas,75212,80000,,,,,6011,Vacant Land,,86,48113010602,Dallas,13.63,18.72,32.776339,-96.915654,https://www.redfin.com/TX/Dallas/2706-Jeff-St-75212/home/30985676
2710 Jeff St,Dallas,75212,80000,,,,,6011,Vacant Land,,86,48113010602,Dallas,13.62,18.71,32.776473,-96.915684,https://www.redfin.com/TX/Dallas/2710-Jeff-St-75212/home/30985662
5514 Fannie St,Dallas,75212,479000,5,3.0,2565,2025,12632,Single Family Residential,,114,48113010602,Dallas,13.96,19.33,32.7687882,-96.907931,https://www.redfin.com/TX/Dallas/5514-Fannie-St-75212/home/196129616
2703 Mike St,Dallas,75212,125000,,,,,5053,Vacant Land,,141,48113010602,Dallas,13.59,18.73,32.7764264,-96.9141908,https://www.redfin.com/TX/Dallas/2703-Mike-St-75212/home/30985727
5200 Fitchburg St,Dallas,75212,90900,,,,,7667,Vacant Land,,219,48113010602,Dallas,13.72,19.18,32.771711,-96.90531,https://www.redfin.com/TX/Dallas/5200-Fitchburg-St-75212/home/30987426
5124 Fitchburg St,Dallas,75212,90900,,,,,15420,Vacant Land,,219,48113010602,Dallas,13.74,19.19,32.771467,-96.905238,https://www.redfin.com/TX/Dallas/5124-Fitchburg-St-75212/home/30987425
5312 Black Hawk St,Dallas,75212,320000,4,2.0,1664,2019,4499,Single Family Residential,,223,48113010602,Dallas,14.02,19.48,32.7671867,-96.9055412,https://www.redfin.com/TX/Dallas/5312-Black-Hawk-St-75212/home/30987197
2418 Finklea St,Dallas,75212,75000,,,,,7492,Vacant Land,,282,48113010602,Dallas,13.87,19.12,32.771311,-96.91143,https://www.redfin.com/TX/Dallas/2418-Finklea-St-75212/home/30986053
2414 Finklea St,Dallas,75212,75000,,,,,7492,Vacant Land,,282,48113010602,Dallas,13.88,19.13,32.771177,-96.91139,https://www.redfin.com/TX/Dallas/2414-Finklea-St-75212/home/30986052
2415 Tally Ho Ln,Dallas,75212,85000,,,,,7492,Vacant Land,,282,48113010602,Dallas,13.86,19.12,32.7713001,-96.9109226,https://www.redfin.com/TX/Dallas/2415-Tally-Ho-Ln-75212/home/30986044
2419 Tally Ho Ln,Dallas,75212,85000,,,,,7492,Vacant Land,,282,48113010602,Dallas,13.85,19.12,32.7714209,-96.910951,https://www.redfin.com/TX/Dallas/2419-Tally-Ho-Ln-75212/home/30986047
2610 Jeff St,Dallas,75212,105000,,,,,6011,Vacant Land,,629,48113010602,Dallas,13.67,18.77,32.775664,-96.915503,https://www.redfin.com/TX/Dallas/2610-Jeff-St-75212/home/30985652
2614 Jeff St,Dallas,75212,105000,,,,,6011,Vacant Land,,629,48113010602,Dallas,13.66,18.76,32.775798,-96.915533,https://www.redfin.com/TX/Dallas/2614-Jeff-St-75212/home/30985670
2822 Ingersoll St,Dallas,75212,149900,,,,,7492,Vacant Land,,698,48113010602,Dallas,13.35,18.76,32.7777167,-96.90637,https://www.redfin.com/TX/Dallas/2822-Ingersoll-St-75212/home/30986091
1327 Charlotte St,Dallas,75211,37500,,,,,8276,Vacant Land,,32,48113010704,Dallas,16.33,21.99,32.7309167,-96.8993618,https://www.redfin.com/TX/Dallas/1327-Charlotte-St-75211/home/31041329
102 S Tillery Ave,Dallas,75211,289900,3,2.0,1218,1935,9235,Single Family Residential,,35,48113010704,Dallas,15.57,20.79,32.7459116,-96.9138143,https://www.redfin.com/TX/Dallas/102-S-Tillery-Ave-75211/home/31092988
1808 Western Park Dr,Dallas,75211,280000,3,2.0,1252,1966,7754,Single Family Residential,,210,48113010704,Dallas,16.62,22.33,32.726234,-96.8974481,https://www.redfin.com/TX/Dallas/1808-Western-Park-Dr-75211/home/30890748
122 S Ira Ave,Dallas,75211,99000,,,,,8189,Vacant Land,,359,48113010704,Dallas,15.66,20.81,32.7452717,-96.9162392,https://www.redfin.com/TX/Dallas/122-S-Ira-Ave-75211/home/31154655
2406 Cliff Teen Ct,Dallas,75233,225000,3,2.0,1348,1960,7710,Single Family Residential,,31,48113010804,Dallas,17.25,23.97,32.7113925,-96.8573348,https://www.redfin.com/TX/Dallas/2406-Cliff-Teen-Ct-75233/home/30899581
2457 Glenfield Ave,Dallas,75233,200000,2,2.0,1321,1925,8059,Single Family Residential,,62,48113010804,Dallas,16.87,23.56,32.7170396,-96.8594921,https://www.redfin.com/TX/Dallas/2457-Glenfield-Ave-75233/home/30899895
2811 Silkwood St,Dallas,75215,379900,4,2.0,2173,2026,6142,Single Family Residential,,1,48113011500,Dallas,15.81,24.89,32.7411558,-96.7503654,https://www.redfin.com/TX/Dallas/2811-Silkwood-St-75215/home/30969882
5312 Dimple Jackson St,Dallas,75210,124900,2,1.0,768,1916,6142,Single Family Residential,,16,48113011500,Dallas,14.72,24.23,32.7625902,-96.7345922,https://www.redfin.com/TX/Dallas/5312-Dimple-Jackson-St-75210/home/31054558
2710 Silkwood St,Dallas,75215,234000,3,2.0,1279,2012,6000,Single Family Residential,,23,48113011500,Dallas,15.81,24.86,32.740828,-96.7518246,https://www.redfin.com/TX/Dallas/2710-Silkwood-St-75215/home/52060057
2825 Dorris St,Dallas,75215,449999,4,2.5,2300,2025,5881,Single Family Residential,,30,48113011500,Dallas,15.7,24.81,32.742983,-96.749679,https://www.redfin.com/TX/Dallas/2825-Dorris-St-75215/home/30969828
6202 Trinity Creek Dr,Dallas,75217,350000,3,2.0,2044,2024,7405,Single Family Residential,27,34,48113011500,Dallas,16.88,26.41,32.7358675,-96.7141571,https://www.redfin.com/TX/Dallas/6202-Trinity-Creek-Dr-75217/home/30740971
2621 Choice St,Dallas,75215,199000,3,2.0,1200,2006,4530,Single Family Residential,,37,48113011500,Dallas,16.08,25.09,32.7364706,-96.7527309,https://www.redfin.com/TX/Dallas/2621-Choice-St-75215/home/30969573
5332 Dimple Jackson St,Dallas,75210,159000,2,1.0,912,1911,6034,Single Family Residential,,42,48113011500,Dallas,14.76,24.27,32.7621088,-96.733991,https://www.redfin.com/TX/Dallas/5332-Dimple-Jackson-St-75210/home/31054549
3041 Valentine St,Dallas,75215,614000,4,4.0,2950,2026,6447,Single Family Residential,,55,48113011500,Dallas,15.82,24.98,32.7420483,-96.7462373,https://www.redfin.com/TX/Dallas/3041-Valentine-St-75215/home/200272340
3018 Rochester St,Dallas,75215,579000,4,3.0,2589,2026,5837,Single Family Residential,,73,48113011500,Dallas,15.95,25.08,32.7400079,-96.7467759,https://www.redfin.com/TX/Dallas/3018-Rochester-St-75215/home/200272342
2826 Rochester St,Dallas,75215,450000,4,3.5,2410,2025,6098,Single Family Residential,,107,48113011500,Dallas,15.9,24.98,32.740021,-96.74973,https://www.redfin.com/TX/Dallas/2826-Rochester-St-75215/home/30969938
2828 Rochester St,Dallas,75215,450000,4,3.5,2410,2025,6098,Single Family Residential,,107,48113011500,Dallas,15.9,24.98,32.740022,-96.749567,https://www.redfin.com/TX/Dallas/2828-Rochester-St-75215/home/30969939
2807 Silkwood St,Dallas,75215,248000,3,3.0,1200,1961,5793,Single Family Residential,,124,48113011500,Dallas,15.8,24.88,32.7412552,-96.7504827,https://www.redfin.com/TX/Dallas/2807-Silkwood-St-75215/home/30969883
1725 Udal Ave,Dallas,75217,10100,,,,,7013,Vacant Land,,280,48113011500,Dallas,16.36,25.8,32.740459,-96.724582,https://www.redfin.com/TX/Dallas/1725-Udal-Ave-75215/home/190764002
1721 Udal Ave,Dallas,75217,10100,,,,,7013,Vacant Land,,280,48113011500,Dallas,16.36,25.8,32.740326,-96.724585,https://www.redfin.com/TX/Dallas/1721-Udal-Ave-75215/home/190764083
1719 Udal Ave,Dallas,75217,10100,,,,,7013,Vacant Land,,280,48113011500,Dallas,16.37,25.81,32.740191,-96.724588,https://www.redfin.com/TX/Dallas/1719-Udal-Ave-75215/home/190764190
1717 Udal Ave,Dallas,75217,10100,,,,,7013,Vacant Land,,280,48113011500,Dallas,16.38,25.82,32.740052,-96.724591,https://www.redfin.com/TX/Dallas/1717-Udal-Ave-75215/home/190764277
1715 Udal Ave,Dallas,75217,10100,,,,,7013,Vacant Land,,280,48113011500,Dallas,16.39,25.83,32.739915,-96.724594,https://www.redfin.com/TX/Dallas/1715-Udal-Ave-75215/home/190763625
1704 Tune Ave,Dallas,75217,10100,,,,,7013,Vacant Land,,280,48113011500,Dallas,16.42,25.85,32.739244,-96.725089,https://www.redfin.com/TX/Dallas/1704-Tune-Ave-75215/home/190763747
9643 Altacrest Dr,Dallas,75227,269900,4,2.0,1643,1965,8320,Single Family Residential,,92,48113012000,Dallas,17.26,27.52,32.7580729,-96.6549737,https://www.redfin.com/TX/Dallas/9643-Altacrest-Dr-75227/home/30943271
2718 Mossglen Dr,Dallas,75227,297000,3,2.0,1410,2016,7710,Single Family Residential,,14,48113012000,Dallas,17.32,27.59,32.7580411,-96.6532278,https://www.redfin.com/TX/Dallas/2718-Mossglen-Dr-75227/home/30774364
2137 Aspen Dr,Dallas,75227,95000,2,1.5,1110,1983,1742,Condo/Co-op,145,27,48113012000,Dallas,17.52,27.68,32.7496038,-96.6613787,https://www.redfin.com/TX/Dallas/2137-Aspen-Dr-75227/home/31144567
9510 Crestshire Dr,Dallas,75227,299999,4,2.0,1632,1964,12981,Single Family Residential,,30,48113012000,Dallas,17.38,27.57,32.7529367,-96.6598961,https://www.redfin.com/TX/Dallas/9510-Crestshire-Dr-75227/home/30942803
9415 Olde Towne Row,Dallas,75227,90000,2,1.5,1140,1983,1520,Townhouse,162,31,48113012000,Dallas,17.46,27.64,32.7517227,-96.659748,https://www.redfin.com/TX/Dallas/9415-Olde-Towne-Row-75227/home/31144246
9459 Olde Towne Row,Dallas,75227,92000,1,1.0,870,1983,1568,Townhouse,200,42,48113012000,Dallas,17.48,27.66,32.7517178,-96.6591356,https://www.redfin.com/TX/Dallas/9459-Olde-Towne-Row-75227/home/31144216
9455 Olde Village Ct,Dallas,75227,90000,1,1.5,870,1983,1699,Townhouse,145,54,48113012000,Dallas,17.5,27.68,32.7510024,-96.6595538,https://www.redfin.com/TX/Dallas/9455-Olde-Village-Ct-75227/home/31144485
2269 Aspen Dr,Dallas,75227,90000,2,1.5,870,1983,1655,Townhouse,145,54,48113012000,Dallas,17.44,27.62,32.7516015,-96.6603658,https://www.redfin.com/TX/Dallas/2269-Aspen-Dr-75227/home/31144610
9434 Olde Towne Row,Dallas,75227,101000,2,1.5,1110,1983,1568,Townhouse,145,54,48113012000,Dallas,17.49,27.67,32.7512781,-96.6594835,https://www.redfin.com/TX/Dallas/9434-Olde-Towne-Row-75227/home/31144475
9610 Jennie Lee,Dallas,75227,317999,4,2.5,3200,1966,7057,Single Family Residential,,58,48113012000,Dallas,17.31,27.54,32.7562846,-96.6564445,https://www.redfin.com/TX/Dallas/9610-Jennie-Lee-Ln-75227/home/30943208
2250 Aspen Dr,Dallas,75227,105000,2,1.5,915,1983,1568,Townhouse,145,58,48113012000,Dallas,17.48,27.66,32.7511045,-96.6600208,https://www.redfin.com/TX/Dallas/2250-Aspen-Dr-75227/home/31144586
9520 Scyene Rd,Dallas,75227,525000,,,,,238927,Vacant Land,,73,48113012000,Dallas,16.94,27.19,32.7615849,-96.658642,https://www.redfin.com/TX/Dallas/9520-Scyene-Rd-75227/home/30943337
2219 Aspen Dr,Dallas,75227,89000,2,1.5,1100,1983,2657,Townhouse,145,79,48113012000,Dallas,17.47,27.64,32.750782,-96.6608548,https://www.redfin.com/TX/Dallas/2219-Aspen-Dr-75227/home/31144625
2188 Aspen Dr,Dallas,75227,89000,2,1.5,1100,1983,2657,Townhouse,145,79,48113012000,Dallas,17.52,27.68,32.7501301,-96.6605447,https://www.redfin.com/TX/Dallas/2188-Aspen-Dr-75227/home/31144160
9447 Olde Towne Row,Dallas,75227,115000,2,1.5,1140,1983,1568,Townhouse,145,101,48113012000,Dallas,17.47,27.66,32.7516921,-96.6592981,https://www.redfin.com/TX/Dallas/9447-Olde-Towne-Row-75227/home/31144221
9830 Bluffcreek Dr,Dallas,75227,225000,3,2.0,1377,1971,7500,Single Family Residential,,114,48113012000,Dallas,17.7,27.93,32.7519712,-96.6521496,https://www.redfin.com/TX/Dallas/9830-Bluffcreek-Dr-75227/home/30943179
2174 Aspen Dr,Dallas,75227,115000,2,1.5,1100,1983,2657,Townhouse,145,114,48113012000,Dallas,17.54,27.7,32.7498546,-96.6605989,https://www.redfin.com/TX/Dallas/2174-Aspen-Dr-75227/home/31144164
2157 Aspen Dr,Dallas,75227,104000,2,1.5,1110,1983,1612,Townhouse,145,122,48113012000,Dallas,17.52,27.67,32.7498434,-96.6612019,https://www.redfin.com/TX/Dallas/2157-Aspen-Dr-75227/home/31144577
2617 N Masters Dr,Dallas,75227,170000,,,,,32060,Vacant Land,,141,48113012000,Dallas,17.5,27.8,32.757519,-96.648776,https://www.redfin.com/TX/Dallas/2617-N-Masters-Dr-75227/home/30943022
2926 N Prairie Creek Rd,Dallas,75227,209000,3,2.0,1602,1962,7797,Single Family Residential,,182,48113012000,Dallas,16.68,26.89,32.7622487,-96.6652384,https://www.redfin.com/TX/Dallas/2926-N-Prairie-Creek-Rd-75227/home/30943406
9459 Olde Village Ct,Dallas,75227,95000,1,1.5,870,1983,1742,Townhouse,145,399,48113012000,Dallas,17.51,27.68,32.7510197,-96.6594921,https://www.redfin.com/TX/Dallas/9459-Olde-Village-Ct-75227/home/31144488
2281 Aspen Dr,Dallas,75227,107500,2,1.5,1140,1983,2657,Townhouse,155,644,48113012000,Dallas,17.43,27.61,32.7518196,-96.6603605,https://www.redfin.com/TX/Dallas/2281-Aspen-Dr-75227/home/31144521
9446 Olde Village Ct,Dallas,75227,109100,1,2.0,1556,1983,1556,Townhouse,,75,48113012000,Dallas,17.52,27.69,32.7505606,-96.6597602,https://www.redfin.com/TX/Dallas/9446-Olde-Village-Ct-75227/home/31144462
1718 Tenison Hills Ct,Dallas,75228,1197000,3,3.5,2436,2026,5995,Single Family Residential,,7,48113012208,Dallas,12.47,22.57,32.805279,-96.719323,https://www.redfin.com/TX/Dallas/1718-Tenison-Hills-CT-75228/home/201552067
8515 Baumgarten Dr,Dallas,75228,339999,3,2.0,1601,1975,7623,Single Family Residential,,14,48113012211,Dallas,13.35,23.66,32.8033588,-96.6951736,https://www.redfin.com/TX/Dallas/8515-Baumgarten-Dr-75228/home/31010537
8617 Baumgarten Dr,Dallas,75228,549000,4,2.5,2224,1975,7492,Single Family Residential,,22,48113012211,Dallas,13.36,23.68,32.8044762,-96.6932797,https://www.redfin.com/TX/Dallas/8617-Baumgarten-Dr-75228/home/31010573
8605 Grumman Dr,Dallas,75228,465000,4,2.0,2151,1976,7187,Single Family Residential,,22,48113012211,Dallas,13.29,23.63,32.8058984,-96.6929938,https://www.redfin.com/TX/Dallas/8605-Grumman-Dr-75228/home/31010501
3304 Bellingham Ct,Dallas,75228,430000,4,2.0,2301,1977,9932,Single Family Residential,,28,48113012211,Dallas,13.65,23.94,32.7997654,-96.6924855,https://www.redfin.com/TX/Dallas/3304-Bellingham-Ct-75228/home/31011231
8533 Van Pelt Dr,Dallas,75228,450000,3,2.0,1911,1976,7928,Single Family Residential,,49,48113012211,Dallas,13.41,23.73,32.8036744,-96.6930505,https://www.redfin.com/TX/Dallas/8533-Van-Pelt-Dr-75228/home/31010642
8517 Van Pelt Dr,Dallas,75228,399999,3,2.0,1960,1976,7449,Single Family Residential,,138,48113012211,Dallas,13.41,23.72,32.802864,-96.6943826,https://www.redfin.com/TX/Dallas/8517-Van-Pelt-Dr-75228/home/31010651
8507 Baumgarten Dr,Dallas,75228,349000,3,2.0,1983,1975,7710,Single Family Residential,,468,48113012211,Dallas,13.36,23.66,32.8029881,-96.6956361,https://www.redfin.com/TX/Dallas/8507-Baumgarten-Dr-75228/home/31010532
3342 Shining Light Dr,Dallas,75228,345000,3,2.0,1842,2012,5706,Single Family Residential,,24,48113012302,Dallas,13.99,24.43,32.8042046,-96.6761155,https://www.redfin.com/TX/Dallas/3342-Shining-Light-Dr-75228/home/30774114
3339 Shining Light Dr,Dallas,75228,345000,4,2.0,1756,2013,5706,Single Family Residential,,28,48113012302,Dallas,13.96,24.4,32.8043411,-96.6766399,https://www.redfin.com/TX/Dallas/3339-Shining-Light-Dr-75228/home/30774119
2223 Babalos Ln,Dallas,75228,310000,3,2.0,1691,1968,8756,Single Family Residential,,51,48113012302,Dallas,13.7,24.17,32.8086924,-96.6774045,https://www.redfin.com/TX/Dallas/2223-Babalos-Ln-75228/home/31011002
2010 Gross Rd,Dallas,75228,475000,6,3.5,2430,1956,28880,Single Family Residential,,93,48113012302,Dallas,13.25,23.74,32.8147129,-96.68083,https://www.redfin.com/TX/Dallas/2010-Gross-Rd-75228/home/31011173
1832 Wonderlight Ln,Dallas,75228,449000,6,3.5,2652,1965,9148,Single Family Residential,,118,48113012302,Dallas,13.21,23.68,32.8138677,-96.6830646,https://www.redfin.com/TX/Dallas/1832-Wonderlight-Ln-75228/home/31011144
10548 Stone Canyon Rd #230,Dallas,75230,190000,2,2.0,1141,1970,452850,Condo/Co-op,659,4,48113013107,Dallas,5.82,16.24,32.8898734,-96.7744807,https://www.redfin.com/TX/Dallas/10548-Stone-Canyon-Rd-75230/unit-230/home/30995557
10430 High Hollows Dr #238,Dallas,75230,212000,2,2.5,1346,1969,6,Condo/Co-op,723,7,48113013107,Dallas,5.97,16.39,32.8883802,-96.7724503,https://www.redfin.com/TX/Dallas/10430-High-Hollows-Dr-75230/unit-238/home/30995738
10440 High Hollows Dr #146,Dallas,75230,109000,1,1.0,824,1969,242455,Condo/Co-op,375,19,48113013107,Dallas,5.94,16.36,32.8884907,-96.7730302,https://www.redfin.com/TX/Dallas/10440-High-Hollows-Dr-75230/unit-146/home/200258728
10556 High Hollows Dr #239,Dallas,75230,185000,2,2.0,1301,1970,452850,Condo/Co-op,751,26,48113013107,Dallas,5.85,16.28,32.8895657,-96.7739038,https://www.redfin.com/TX/Dallas/10556-High-Hollows-Dr-75230/unit-239/home/30995569
10416 High Hollows Dr #233,Dallas,75230,209000,2,2.5,1359,1969,242455,Condo/Co-op,662,29,48113013107,Dallas,5.99,16.41,32.8877131,-96.7728712,https://www.redfin.com/TX/Dallas/10416-High-Hollows-Dr-75230/unit-233/home/201090105
10526 Stone Canyon Rd #201,Dallas,75230,195000,3,2.0,1406,1970,452850,Condo/Co-op,812,112,48113013107,Dallas,5.86,16.27,32.888908,-96.7748205,https://www.redfin.com/TX/Dallas/10526-Stone-Canyon-Rd-75230/unit-201/home/30995620
10650 Steppington Dr #212,Dallas,75230,229000,2,2.0,1197,1979,208391,Condo/Co-op,385,133,48113013107,Dallas,5.75,16.26,32.8934218,-96.770627,https://www.redfin.com/TX/Dallas/10650-Steppington-Dr-75230/unit-212/home/30995895
10650 Steppington Dr #236,Dallas,75230,194000,2,2.0,1077,1979,208391,Condo/Co-op,333,156,48113013107,Dallas,5.75,16.26,32.8934218,-96.770627,https://www.redfin.com/TX/Dallas/10650-Steppington-Dr-75230/unit-236/home/30995840
4101 Esters Rd #101,Irving,75038,170000,2,1.0,783,1984,100536,Condo/Co-op,350,7,48113014161,Dallas,12.05,12.23,32.8632564,-97.0027993,https://www.redfin.com/TX/Irving/4101-Esters-Rd-75038/unit-101/home/200257837
4113 Esters Rd #603,Irving,75038,100000,1,1.0,493,1984,100536,Condo/Co-op,549,24,48113014161,Dallas,12.05,12.22,32.863398,-97.002863,https://www.redfin.com/TX/Irving/4113-Esters-Rd-75038/unit-603/home/31719557
4101 Esters Rd #110,Irving,75038,190000,2,2.0,906,1984,100536,Condo/Co-op,551,29,48113014161,Dallas,12.05,12.23,32.8632564,-97.0027993,https://www.redfin.com/TX/Irving/4101-Esters-Rd-75038/unit-110/home/31719552
4115 Esters Rd #710,Irving,75038,144900,2,2.0,906,1984,100536,Condo/Co-op,549,71,48113014161,Dallas,12.02,12.19,32.8638824,-97.0027286,https://www.redfin.com/TX/Irving/4115-Esters-Rd-75038/unit-710/home/31719517
924 Mccoy Dr,Irving,75062,499000,3,2.5,2388,1987,6882,Single Family Residential,33,35,48113014308,Dallas,10.61,13.29,32.8496885,-96.9572843,https://www.redfin.com/TX/Irving/924-McCoy-Dr-75062/home/31765976
2016 Meadow Lark,Irving,75060,319900,3,1.5,1555,1967,7187,Single Family Residential,,35,48113015208,Dallas,14.37,17.38,32.7889093,-96.9708977,https://www.redfin.com/TX/Irving/2016-Meadow-Lark-75060/home/31697054
1902 Glenwick Ln,Irving,75060,320000,3,2.0,1250,1969,7187,Single Family Residential,,211,48113015208,Dallas,14.34,17.23,32.7909492,-96.9733616,https://www.redfin.com/TX/Irving/1902-Glenwick-Ln-75060/home/31699475
317 12th St,Grand Prairie,75051,225000,2,1.0,1137,1950,5619,Single Family Residential,,21,48113015900,Dallas,17.64,20.52,32.743067,-96.9903411,https://www.redfin.com/TX/Grand-Prairie/317-SE-12th-St-75051/home/31515886
1333 Falcon Dr,Grand Prairie,75051,635000,10,6.5,3723,2008,15507,Single Family Residential,,59,48113015900,Dallas,18.27,21.17,32.7335578,-96.9926582,https://www.redfin.com/TX/Grand-Prairie/1333-Falcon-Dr-75051/home/30773985
905 SE 3rd St,Grand Prairie,75051,285000,4,2.0,1442,1970,9627,Single Family Residential,,23,48113016002,Dallas,18.47,21.09,32.7348853,-97.0016242,https://www.redfin.com/TX/Grand-Prairie/905-SE-3rd-St-75051/home/31545183
617 4th St,Grand Prairie,75051,55000,,,,,11195,Vacant Land,,46,48113016002,Dallas,18.18,20.79,32.739177,-97.000413,https://www.redfin.com/TX/Grand-Prairie/617-SE-4th-St-75051/home/31545188
29 2nd St,Grand Prairie,75051,32500,,,,,14723,Vacant Land,,157,48113016002,Dallas,18.84,21.5,32.729014,-97.002529,https://www.redfin.com/TX/Grand-Prairie/29-SE-2nd-St-75051/home/31545423
806 E Coral Way,Grand Prairie,75051,315000,3,2.0,1680,1965,9845,Single Family Residential,,9,48113016302,Dallas,19.22,22.25,32.7180475,-96.993536,https://www.redfin.com/TX/Grand-Prairie/806-E-Coral-Way-75051/home/31599276
2221 Varsity Dr,Grand Prairie,75051,229000,4,2.0,1800,1950,10890,Single Family Residential,,89,48113016302,Dallas,19.4,22.58,32.7131326,-96.9893479,https://www.redfin.com/TX/Grand-Prairie/2221-Varsity-Dr-75051/home/31592506
11460 Audelia Rd #272,Dallas,75243,117000,2,2.0,1087,1980,435295,Condo/Co-op,658,24,48113018505,Dallas,7.7,18.49,32.9047606,-96.7146614,https://www.redfin.com/TX/Dallas/11460-Audelia-Rd-75243/unit-272/home/31061240
11460 Audelia Rd #387,Dallas,75243,125000,3,2.0,1237,1980,435295,Condo/Co-op,750,30,48113018505,Dallas,7.7,18.49,32.9047606,-96.7146614,https://www.redfin.com/TX/Dallas/11460-Audelia-Rd-75243/unit-387/home/31061162
11470 Audelia Rd #363,Dallas,75243,124000,2,1.0,985,1983,435295,Condo/Co-op,599,32,48113018505,Dallas,7.66,18.46,32.9055108,-96.7148882,https://www.redfin.com/TX/Dallas/11470-Audelia-Rd-75243/unit-363/home/31165582
11470 Audelia Rd #162,Dallas,75243,89000,2,2.0,1087,1983,435295,Condo/Co-op,658,44,48113018505,Dallas,7.66,18.46,32.9055108,-96.7148882,https://www.redfin.com/TX/Dallas/11470-Audelia-Rd-75243/unit-162/home/31164192
11460 Audelia Rd #276,Dallas,75243,185000,2,1.5,985,1980,435295,Condo/Co-op,570,48,48113018505,Dallas,7.7,18.49,32.9047606,-96.7146614,https://www.redfin.com/TX/Dallas/11460-Audelia-Rd-75243/unit-276/home/31061236
11450 Audelia Rd #305,Dallas,75243,125000,2,2.0,1087,1980,435295,Condo/Co-op,685,51,48113018505,Dallas,7.57,18.37,32.9050738,-96.7169898,https://www.redfin.com/TX/Dallas/11450-Audelia-Rd-75243/unit-305/home/31061131
11450 Audelia Rd #308,Dallas,75243,175000,3,2.0,1237,1980,435295,Condo/Co-op,1000,104,48113018505,Dallas,7.57,18.37,32.9050738,-96.7169898,https://www.redfin.com/TX/Dallas/11450-Audelia-Rd-75243/unit-308/home/31061152
11460 Audelia Rd #172,Dallas,75243,77000,2,2.0,1087,1980,435295,Condo/Co-op,624,112,48113018505,Dallas,7.7,18.49,32.9047606,-96.7146614,https://www.redfin.com/TX/Dallas/11460-Audelia-Rd-75243/unit-172/home/31061248
11450 Audelia Rd #304,Dallas,75243,135000,2,1.5,985,1980,435295,Condo/Co-op,570,176,48113018505,Dallas,7.57,18.37,32.9050738,-96.7169898,https://www.redfin.com/TX/Dallas/11450-Audelia-Rd-75243/unit-304/home/31061132
11655 Audelia Rd #405,Dallas,75243,175000,2,1.5,983,1982,214577,Condo/Co-op,442,5,48113018508,Dallas,7.39,18.18,32.9077429,-96.7189011,https://www.redfin.com/TX/Dallas/11655-Audelia-Rd-75243/unit-405/home/31179052
9717 Summerwood Cir,Dallas,75243,320000,3,2.0,1635,1979,4530,Townhouse,,26,48113018508,Dallas,7.49,18.29,32.904763,-96.7188137,https://www.redfin.com/TX/Dallas/9717-Summerwood-Cir-75243/home/31063893
11655 Audelia Rd #601,Dallas,75243,169999,2,1.5,999,1982,214577,Condo/Co-op,401,70,48113018508,Dallas,7.39,18.18,32.9077429,-96.7189011,https://www.redfin.com/TX/Dallas/11655-Audelia-Rd-75243/unit-601/home/31179110
11655 Audelia Rd #901,Dallas,75243,128000,2,2.5,1083,1982,214577,Condo/Co-op,487,87,48113018508,Dallas,7.39,18.18,32.9077429,-96.7189011,https://www.redfin.com/TX/Dallas/11655-Audelia-Rd-75243/unit-901/home/31179089
11655 Audelia Rd #402,Dallas,75243,148500,2,1.5,983,1982,214577,Condo/Co-op,448,113,48113018508,Dallas,7.39,18.18,32.9077429,-96.7189011,https://www.redfin.com/TX/Dallas/11655-Audelia-Rd-75243/unit-402/home/200979989
11311 Audelia Rd #262,Dallas,75243,139000,2,1.5,1017,1982,422488,Condo/Co-op,393,181,48113018508,Dallas,7.58,18.37,32.902378,-96.718839,https://www.redfin.com/TX/Dallas/11311-Audelia-Rd-75243/unit-262/home/31186489
11311 Audelia Rd #230,Dallas,75243,139000,2,1.5,1017,1982,422488,Condo/Co-op,393,182,48113018508,Dallas,7.58,18.37,32.902378,-96.718839,https://www.redfin.com/TX/Dallas/11311-Audelia-Rd-75243/unit-230/home/31186698
11311 Audelia Rd #265,Dallas,75243,139777,2,1.5,935,1982,422488,Condo/Co-op,367,183,48113018508,Dallas,7.58,18.37,32.902378,-96.718839,https://www.redfin.com/TX/Dallas/11311-Audelia-Rd-75243/unit-265/home/31186484
